Date,TS1-S_370,TS2-S_376,TS3-S_21885,TS4-S_434,TS5-S_445,TS6-S_21895
1/14/2002,418.5355,1701.0308,2293.7546,1816.4423,1037.479,481.80365
1/30/2002,427.9849,1731.5361,2086.8416,2120.1814,1576.4158,719.5343
2/14/2002,447.7519,1826.7969,2030.5466,2364.875,2004.9858,1377.3282
2/27/2002,467.64835,1879.7903,1946.1158,2396.4446,2064.7966,1932.4044
3/14/2002,488.16144,1903.9318,1839.4915,2365.5042,2234.0474,1988.186
3/30/2002,555.5873,2046.3508,1782.2223,2553.5068,2535.8347,2091.015
4/14/2002,594.48724,2101.8862,1695.9413,2551.6465,2539.126,2060.067
4/29/2002,574.2942,2001.1256,1633.9624,2457.2593,2757.961,1888.7394
5/14/2002,568.64075,1983.2139,1581.406,2396.7979,2888.5393,1630.6687
5/30/2002,558.1827,1829.6055,1530.4995,2462.9712,3062.6406,1502.1537
6/14/2002,544.0311,1655.8973,1547.454,2546.4482,3159.9675,1286.5731
6/29/2002,522.2419,1410.993,1509.9384,2526.6145,3098.1455,1028.9154
7/14/2002,509.9271,1168.8257,1556.9965,2445.0027,2995.5825,831.16406
7/30/2002,486.841,1055.6919,1567.0355,2325.1382,2889.4866,646.1739
8/14/2002,461.78015,926.82355,1581.7241,2194.1497,2725.3838,487.38617
8/30/2002,443.6365,980.07697,1680.7084,2113.2185,2503.437,357.59946
9/14/2002,441.4624,1243.1163,1791.9286,2046.2715,2288.14,258.97632
9/29/2002,440.5539,1540.0212,1822.1074,2001.9928,2065.7627,250.17168
10/14/2002,439.1306,1648.0527,1796.4397,1971.3724,1909.996,239.64726
10/30/2002,450.97766,1758.1554,1832.6814,1889.4558,1458.5485,274.14435
11/14/2002,447.1287,1723.5573,1759.8362,2111.715,1525.088,392.08936
11/29/2002,442.46796,1682.2006,1773.0797,2425.1165,1743.0632,813.2504
12/14/2002,425.10336,1618.6455,1676.6351,2798.6218,1883.1664,1334.612
12/30/2002,419.80225,1567.2919,1563.5378,3036.7122,2135.0188,1613.3717
1/14/2003,432.0154,1624.4419,1593.5166,3202.5107,2540.4373,1970.1318
1/30/2003,444.5113,1683.0986,1567.61,3318.39,2744.3242,2187.0896
2/14/2003,455.2986,1761.9365,1492.5774,3337.5215,2682.7737,2138.9976
2/27/2003,467.7858,1863.8763,1380.8512,3288.5908,2628.043,1955.1
3/14/2003,483.21024,1943.0299,1293.6909,3139.765,2543.8142,1912.2214
3/30/2003,484.7622,1938.7566,1208.579,2974.0203,2401.7144,1735.2252
4/14/2003,499.05804,1924.7285,1155.8765,2939.7,2367.259,1649.0724
4/29/2003,497.7316,1823.1041,1110.9164,2836.4236,2613.0073,1469.0101
5/14/2003,495.88834,1779.4114,1182.7537,2694.7197,2724.243,1410.7356
5/30/2003,494.59576,1638.8281,1387.7961,2447.7314,3016.762,1542.4493
6/14/2003,478.72855,1473.6841,1451.926,2249.8787,3164.4336,1437.0348
6/29/2003,468.81055,1235.4382,1492.004,2041.9991,3248.6003,1292.0172
7/14/2003,458.0301,1061.7764,1516.7498,1861.4027,3225.4277,1133.9846
7/30/2003,443.52304,899.06067,1602.121,1742.552,3106.3657,943.64185
8/14/2003,411.8625,727.5406,1592.4762,1627.2468,2986.3818,792.51105
8/30/2003,391.03375,733.93225,1660.4271,1564.0472,2840.493,817.5057
9/14/2003,391.49265,916.47217,1854.4137,1492.4366,2676.0151,933.62915
9/29/2003,395.94846,1171.1307,2072.3982,1460.3721,2536.5393,1114.5502
10/14/2003,399.2282,1434.9945,2179.896,1431.2225,2378.5789,1312.4447
10/30/2003,412.6194,1651.6572,2329.4502,1360.3053,1811.5298,1694.7822
11/14/2003,410.48166,1647.0714,2238.5403,1276.0955,1633.0088,1553.4021
11/29/2003,395.25,1585.4847,2110.2026,1308.8165,1506.7264,1412.2631
12/14/2003,385.0683,1535.9487,1971.8048,1417.6257,1400.9893,1235.1699
12/30/2003,391.74176,1508.5343,1893.615,1589.5717,1390.4313,1031.8479
1/14/2004,384.0908,1438.3633,1746.4285,1615.4763,1332.3567,857.14746
1/30/2004,395.87744,1437.5681,1632.6573,1865.4802,1329.3236,781.257
2/14/2004,405.26694,1457.8378,1538.877,2113.5344,1395.0728,721.90857
2/27/2004,423.75871,1523.9746,1443.4943,2266.93985,1543.68735,744.46015
3/14/2004,463.9207,1692.3248,1406.009,2338.0771,1744.1622,782.2587
3/30/2004,505.96774,1856.1917,1352.8679,2318.2117,1824.0148,1159.1755
4/14/2004,503.0603,1812.5651,1290.4457,2475.4358,1850.2621,1371.8003
4/29/2004,536.8831,1919.9078,1390.6475,2762.1274,2443.0469,1647.4027
5/14/2004,544.4112,1927.148,1454.4843,2835.4194,2566.3696,1698.9359
5/30/2004,539.5056,1830.8467,1647.039,2773.7378,2677.5562,1788.462
6/14/2004,522.1994,1626.9143,1621.4235,2711.2834,2664.8896,1643.4033
6/29/2004,506.4756,1418.4662,1550.2429,2626.9187,2559.8657,1451.9951
7/14/2004,472.32,1129.7761,1467.8549,2566.5437,2428.771,1215.4618
7/30/2004,434.9544,897.71716,1369.9923,2483.8086,2267.0215,957.6516
8/14/2004,397.11295,690.5711,1355.276,2398.306,2069.4797,771.5181
8/30/2004,373.1927,644.6367,1520.8058,2278.4546,1856.7726,657.2718
9/14/2004,369.8724,876.32666,1733.6584,2167.1672,1653.43,668.20325
9/29/2004,370.52786,1184.8806,1831.8107,2064.585,1473.1006,764.7657
10/14/2004,388.71866,1511.8314,1934.3638,1971.0948,1321.9762,1096.6445
10/30/2004,382.08966,1571.318,1834.1125,1935.916,907.0616,1286.3179
11/14/2004,392.0483,1650.6798,1779.2948,2018.0657,741.0398,1279.2886
11/29/2004,381.2771,1620.6368,1667.4181,2212.5347,611.25555,1222.9968
12/14/2004,374.08344,1594.0771,1612.2919,2519.6228,533.81464,1272.2465
12/30/2004,379.63925,1587.1516,1585.5292,2878.8374,596.92017,1247.2617
1/14/2005,393.65094,1633.3683,1553.0802,3064.6248,826.7188,1125.24
1/30/2005,409.43924,1688.3574,1455.9447,3059.3362,959.79156,984.4956
2/14/2005,453.4281,1789.1332,1391.3679,3047.4692,1148.7642,1151.2617
2/27/2005,493.95294,1904.2733,1284.8099,3012.3726,1182.4463,1160.2792
3/14/2005,553.1868,2078.9927,1228.6558,2942.2166,1189.134,1362.4208
3/30/2005,562.0394,2063.511,1249.5024,2839.1123,1240.3622,1394.5852
4/14/2005,568.28955,2015.6797,1303.6589,2840.6821,1506.605,1497.4099
4/29/2005,562.6088,1916.5032,1391.7609,2918.493,1975.4016,1657.3107
5/14/2005,554.03644,1909.2662,1364.6772,2865.374,2224.9878,1555.3802
5/30/2005,540.8059,1749.1681,1394.3802,2767.252,2250.9297,1458.358
6/14/2005,515.68854,1528.1306,1448.5162,2737.7893,2252.3052,1309.356
6/29/2005,483.68356,1215.4143,1393.61,2619.1697,2187.4058,1226.1293
7/14/2005,449.095,961.81024,1365.0905,2455.1226,2083.2324,1120.1813
7/30/2005,407.4464,722.70526,1305.8564,2295.2966,1917.3916,960.09076
8/14/2005,367.5201,528.2313,1289.1969,2123.6274,1737.0928,966.6225
8/30/2005,336.79065,474.3898,1367.4404,1987.8369,1540.103,1165.2822
9/14/2005,316.1259,540.2211,1473.5304,1858.626,1378.9939,1379.7585
9/29/2005,315.33984,819.5662,1694.6389,1770.1841,1223.0588,1713.865
10/14/2005,323.1235,1169.9463,1863.7986,1702.7609,1077.2017,1970.2979
10/30/2005,319.48083,1263.6653,1956.9242,1631.9877,753.95123,1937.8555
11/14/2005,317.18054,1312.468,2005.7089,1585.3474,631.9503,1791.4678
11/29/2005,301.1491,1269.0608,1982.2977,1559.7557,528.9402,1701.5353
12/14/2005,289.24054,1238.3522,1922.5657,1573.8585,444.91653,1577.0961
12/30/2005,285.4117,1209.8441,1848.413,1572.1805,401.54507,1349.3578
1/14/2006,277.4407,1166.5448,1724.9651,1554.9387,418.43332,1101.6213
1/30/2006,277.31345,1132.6058,1673.9598,1529.748,524.6359,884.99335
2/14/2006,281.5129,1124.122,1597.6696,1515.5818,553.5259,749.0311
2/27/2006,297.06784,1133.7869,1530.7607,1448.9736,531.7168,599.7458
3/14/2006,338.9623,1155.5592,1433.2418,1404.4132,744.7568,839.5967
3/30/2006,384.1626,1212.9545,1358.0123,1528.0884,1108.7319,1251.9364
4/14/2006,404.57004,1214.4707,1372.1956,1872.311,1534.5388,1525.6006
4/29/2006,416.6279,1297.9172,1507.4321,2335.8413,2097.017,1922.438
5/14/2006,407.6618,1301.0273,1588.7833,2713.7974,2376.7327,2020.5386
5/30/2006,398.5441,1307.2278,1717.3813,3062.565,2595.1648,1904.4728
6/14/2006,392.9823,1212.6965,1712.8276,3064.2495,2619.4485,1744.8206
6/29/2006,381.36356,1034.3845,1637.0192,2969.046,2594.1416,1521.2322
7/14/2006,362.0096,900.0649,1538.9713,2861.7961,2541.2192,1272.6273
7/30/2006,342.8997,772.6947,1427.1587,2785.604,2373.7312,1022.79285
8/14/2006,322.7691,653.8434,1350.1171,2680.8828,2182.3496,804.3989
8/30/2006,310.98724,642.0531,1459.3452,2521.712,1996.6655,652.44714
9/14/2006,304.05154,746.842,1645.0706,2371.1023,1802.3103,751.2651
9/29/2006,304.6687,931.9129,1982.4717,2195.5557,1597.4048,1068.9087
10/14/2006,311.48245,1245.3698,2240.6301,2026.9982,1399.4877,1472.089
10/30/2006,326.9958,1379.863,2187.8738,1994.6522,992.9226,1507.239
11/14/2006,330.8619,1385.4294,2134.9788,2095.5493,820.79926,1539.0233
11/29/2006,331.34006,1361.4066,2048.726,2490.406,726.366,1439.3406
12/14/2006,335.77515,1353.3425,2008.263,2860.167,860.2001,1486.1719
12/30/2006,336.08865,1347.8295,1928.3928,3082.2344,1176.7797,1476.4244
1/14/2007,344.93524,1327.2838,1929.3285,3321.468,1868.6792,1523.4017
1/30/2007,343.74194,1330.9333,1915.2631,3380.4644,2218.036,1545.7545
2/14/2007,344.2461,1351.7756,1908.2208,3347.225,2303.748,1743.3214
2/27/2007,353.87576,1407.917,1911.6031,3221.1602,2469.069,1926.6229
3/14/2007,393.7229,1563.4287,1894.0642,3049.0369,2433.2363,2015.0215
3/30/2007,425.8342,1632.0728,1813.5555,3011.9922,2345.787,1900.98
4/14/2007,423.8238,1581.3016,1725.2543,3058.2217,2309.1956,1758.0372
4/29/2007,420.08875,1562.1085,1630.9216,3025.9187,2460.3071,1634.7229
5/14/2007,419.32355,1589.7219,1609.5541,2958.1743,2448.827,1453.67
5/30/2007,414.78705,1525.687,1605.121,2904.4714,2409.4363,1317.0339
6/14/2007,407.7763,1451.2954,1541.9094,2858.8643,2327.0933,1155.5405
6/29/2007,394.55276,1206.485,1435.1469,2766.3828,2213.908,919.26276
7/14/2007,377.92935,1014.06793,1337.2845,2691.6938,2085.5366,695.4418
7/30/2007,358.7725,819.57117,1363.4531,2623.7678,1935.8289,533.9465
8/14/2007,340.51324,655.84106,1377.1626,2544.6711,1777.5671,390.3392
8/30/2007,333.50055,619.20215,1616.7186,2537.568,1640.0901,368.44003
9/14/2007,324.7627,725.5585,1799.8115,2641.806,1500.362,439.7202
9/29/2007,324.3725,1091.3934,2048.4043,2766.7078,1396.7046,956.02185
10/14/2007,325.87305,1407.4315,2388.526,2757.066,1281.9697,1994.3923
10/30/2007,327.3784,1541.6078,2475.0376,2662.425,900.1714,2648.2578
11/14/2007,338.9748,1623.9045,2432.8608,2591.7354,753.8878,2813.6396
11/29/2007,333.71985,1592.7555,2318.972,2439.8657,621.4183,2598.453
12/14/2007,326.87735,1554.9304,2162.2744,2342.9512,507.7352,2377.9917
12/30/2007,321.3279,1439.0054,2043.9258,2307.157,427.2021,2095.1675
1/14/2008,315.66226,1341.6202,1976.9764,2257.1567,471.04926,1804.718
1/30/2008,309.49985,1207.9299,1850.1462,2199.775,530.9381,1491.4285
2/14/2008,312.3741,1188.796,1765.0668,2114.6484,687.42365,1302.1523
2/27/2008,313.90583,1189.28175,1724.056,2022.41585,998.95305,1185.67645
